oe1-x,oe1-y,oe1-z,oe1-rotx,oe1-roty,oe1-rotz,oe2-x,oe2-y,oe2-z,oe2-rotx,oe2-roty,oe2-rotz,oe3-x,oe3-y,oe3-z,oe3-rotx,oe3-roty,oe3-rotz,oe4-x,oe4-y,oe4-z,oe4-rotx,oe4-roty,oe4-rotz,oe5-x,oe5-y,oe5-z,oe5-rotx,oe5-roty,oe5-rotz,oe6-x,oe6-y,oe6-z,oe6-rotx,oe6-roty,oe6-rotz,intensity
17.8765,6.7892,-0.0693,-0.0004,-0.0202,-3.707,17.9131,-7.6745,-0.1916,-0.0028,0.0478,-14.5321,-12.1505,4.2378,0.0892,-0.0065,0.0119,0.409,-9.2989,1.9224,0.1979,-0.0047,0.0254,2.9921,4.4957,3.2482,1.9773,-0.024,-0.3694,2.1287,4.2947,-8.9504,0.0353,-0.501,-0.6666,-11.2627,0
15.428,-5.8485,-0.0386,-0.0012,0.0376,8.6483,11.8704,19.2391,0.0546,0.0046,-0.0016,-9.2745,6.4226,18.476,-0.004,0.0056,-0.1285,16.4551,9.1077,-6.0987,0.1699,-0.0004,-0.0736,-1.1426,3.5227,10.1602,0.0037,0.0463,0.2794,5.5798,5.2734,5.637,0.2652,1.1601,-0.4675,7.2997,0
0.1666,0.4757,0.4077,-0.0022,-0.0486,-6.9561,0.7099,17.3662,-0.5555,0.0045,0.0464,6.9106,4.1488,4.9306,0.0979,-0.0055,-0.0356,-16.6839,1.97,-7.6432,-0.1765,0.0002,0.0911,2.7274,-2.5213,12.816,0.6728,0.2421,-0.6554,-5.7908,-5.3177,5.9199,-0.1815,-0.7043,-0.1927,8.1216,1219
-18.7711,-4.5774,0.1152,0.0021,-0.0046,7.945,-9.7724,-18.2736,0.4364,0.0029,-0.0335,-14.8985,8.5859,19.6001,-0.1548,0.0056,0.0743,3.3982,-7.6806,-6.2744,-0.0651,0.0026,-0.0772,-0.6423,-4.2379,-18.5492,-2.0644,0.2479,-0.5571,0.1806,3.4852,-4.0819,-0.0411,0.5668,-0.073,-12.6084,896
18.0215,-14.3772,0.0083,-0.002,-0.0129,4.7439,-9.6361,-17.7288,0.8702,0.0011,0.0032,-10.3654,2.9065,-18.6578,0.1737,0.0017,-0.2288,-16.0091,-1.7975,-6.099,0.1978,0.003,-0.1951,-1.9094,-6.4584,-16.1651,-1.1771,0.1433,-0.1278,-3.2754,1.0547,3.539,-0.0442,-0.6718,-0.5444,-10.0057,0
0.8129,18.5247,-0.082,0.0002,-0.0808,-10.2667,-1.4239,9.1572,0.0451,0.0051,0.0226,-1.9431,-5.2135,-2.6506,-0.1275,0.0015,-0.1843,-3.573,3.1754,0.207,-0.1625,-0.0021,-0.0815,-0.0848,-3.8532,3.2431,1.3317,0.3307,0.4769,-3.5594,7.3994,-11.7576,-0.1071,-0.3527,0.2416,3.1416,0
-16.7075,-12.3056,-0.3783,0.0015,-0.0239,9.6396,-8.6256,2.8621,-0.6808,-0.0057,-0.0052,12.174,-3.4825,-4.3288,-0.1678,0.0022,0.138,17.2822,9.7501,-0.662,0.14,0.0028,-0.097,2.016,-5.6743,10.1432,0.6204,0.1529,0.0368,-2.4795,4.6407,-2.7499,0.3677,-0.0057,-0.0314,-9.5004,0
-0.4395,12.7141,-0.4332,-0.0016,-0.0652,4.5657,-9.6238,-16.1621,-0.7449,-0.0032,0.005,-9.7096,-1.9823,-5.7577,0.1582,0.0024,0.2079,15.7959,4.0127,8.9595,0.1955,0.0018,0.1074,-0.2344,5.609,-14.14,0.6516,-0.0418,-0.5654,2.4794,1.5634,-2.1807,-0.2972,0.0662,0.0231,-3.3926,0
19.4092,3.8066,0.2105,0.002,-0.0163,4.4854,11.3126,15.2727,0.786,0.0019,0.0204,15.3288,2.0123,-12.783,0.0822,0.0037,0.2205,6.0034,-7.9573,0.1831,-0.011,0.0035,0.0566,1.8964,-0.7881,-0.7017,2.0327,-0.1881,-0.6838,-5.8909,-8.5652,-2.4912,-0.1354,0.3346,-0.0496,15.6903,0
8.995,10.68,-0.3621,-0.0024,0.0266,0.0615,4.2578,-12.0185,0.2022,0.0056,0.0311,-18.8989,11.1059,9.7698,-0.0262,-0.006,-0.0069,-16.8077,8.6168,1.5521,-0.0985,-0.005,0.0734,1.5238,-5.3539,-12.3402,0.2908,-0.01,-0.2312,-3.9809,5.7443,7.9698,-0.0263,0.9306,-0.3263,8.8591,4
11.1475,-13.4972,0.4669,-0.0015,0.0545,7.2229,-3.8204,-4.7335,-0.2404,0.0018,-0.0239,-16.282,4.7948,-1.4137,0.0152,-0.0002,0.0676,5.3326,6.4383,-3.6933,-0.0471,0.0004,0.1243,-0.6532,4.8779,-19.584,-0.2517,0.2837,0.2148,0.3717,-6.6454,1.5044,0.2964,-1.1683,-0.1498,12.4233,65261
11.6763,-8.9005,-0.1816,0.0032,-0.0673,6.2561,5.1536,18.3102,-0.7607,0.0051,-0.032,-10.6731,-5.2586,-15.5214,-0.017,-0.0008,-0.1434,12.3415,-5.9827,5.7351,-0.1334,0.0014,0.075,0.7974,-0.569,-4.8314,-0.2552,0.2939,-0.1767,-1.2168,-4.8756,-3.5474,-0.1664,-0.4796,-0.2015,11.4526,0
-6.1837,9.7024,-0.2084,0.0037,-0.0627,5.5451,15.1433,10.0403,0.2205,-0.0018,-0.0576,-2.5429,11.6704,14.7724,0.0683,-0.0003,-0.0689,1.7075,0.0584,7.8403,-0.053,0.0039,-0.0591,-1.5794,2.5458,10.1414,-0.4612,-0.2145,0.5847,4.0691,8.1678,12.5516,-0.2602,1.2714,0.5365,-3.8971,9603
-8.4416,-14.312,-0.2535,-0.0035,0.0039,10.5438,5.5122,-11.8262,-0.4678,-0.0043,0.0421,-4.3079,-9.5741,-9.9608,0.0442,0.0049,-0.0748,-1.0483,-4.1137,-1.4328,-0.0654,-0.0007,0.1126,0.7169,5.7108,-9.993,-0.5597,0.1907,0.1545,-2.2346,-7.3702,-4.1215,0.2143,-1.0135,-0.1476,11.9524,0
3.8234,-1.817,-0.3718,0.0024,0.0285,-5.4796,3.52,-3.5284,0.7873,-0.0059,-0.0498,-0.7414,1.0573,0.9907,0.0719,-0.0055,0.2178,2.3507,10.8625,-8.1692,0.166,-0.0015,0.0627,-2.1682,6.5517,-15.6698,-1.8597,-0.2236,-0.6303,0.0263,6.2024,12.9758,-0.1554,-0.9747,0.5582,-15.5651,547
-11.7754,-14.4014,-0.4468,0.0017,0.0214,-2.1591,16.7429,-0.3159,-0.5126,0.0001,-0.0353,11.9096,8.8241,-14.7295,-0.0483,0.0058,-0.0567,12.4602,0.5126,-6.9026,0.0491,-0.0034,-0.0851,0.3748,2.4367,-15.6706,1.5779,-0.2699,-0.0968,-0.3321,6.8342,-7.5512,0.3233,0.8772,-0.1012,-7.6301,436
10.4019,-18.7754,0.1254,0.0026,0.0228,-0.7657,19.4755,2.069,0.436,0.004,0.0054,-8.3282,-7.4226,-11.9195,0.0811,0.0014,-0.1448,-11.6454,4.5492,-5.5018,-0.0099,-0.0046,0.1914,1.9447,2.6673,3.1913,-1.9897,-0.208,0.6692,2.4514,2.8798,3.8014,0.2178,-1.081,0.559,-7.8821,0
15.7764,6.3702,-0.1668,0.0022,-0.0045,1.5541,2.7573,-15.1186,0.0684,0.0023,-0.0299,-7.6215,-2.3924,8.0926,-0.043,0.004,-0.1428,-13.183,-1.8938,-4.0997,0.0102,-0.0005,-0.01,0.6304,2.9542,16.4194,1.8647,-0.0311,-0.431,4.3942,-0.8125,-7.4829,-0.2391,-0.4255,-0.0429,-9.8323,28
4.535,13.4745,-0.1811,0.0027,-0.0209,6.3767,6.3474,-8.0331,-0.4394,-0.0058,-0.0531,16.6351,10.5447,-19.495,0.0897,0.0011,0.0407,-13.9491,4.0802,6.6681,-0.0629,-0.0037,0.174,-1.2041,-2.5752,-12.0837,-0.2615,-0.239,0.2032,5.6704,-5.327,-4.8972,-0.0645,0.295,-0.0063,15.0791,0
-11.6458,-10.6128,-0.1088,-0.0023,0.0293,0.2182,8.1457,-11.4776,-0.115,-0.0033,-0.0544,0.797,10.256,-17.5242,0.1882,0.0005,0.0957,11.2982,2.0456,2.9816,-0.0433,0.0032,-0.0414,0.4853,2.7098,-14.4658,-0.111,-0.2801,0.0206,2.4988,0.4365,3.182,-0.0961,1.23,-0.5586,8.3026,234
-10.9314,1.5078,-0.4134,-0.0002,-0.066,8.3942,-19.0094,4.6298,0.306,0.0053,0.0347,0.3734,-0.5881,5.8545,-0.025,-0.002,-0.0631,18.6902,-8.3031,7.9677,-0.1439,-0.0016,0.1879,-2.8465,-4.8001,-15.9166,-0.8337,0.289,0.1902,-1.9472,-3.2454,1.5184,0.1284,0.2925,0.4269,11.9575,0
-19.2778,1.6127,-0.455,0.0032,0.0687,-10.4669,6.8985,4.3847,0.1675,-0.0055,-0.0475,-3.7877,13.6777,-2.5783,0.1866,-0.0035,0.0448,0.008,4.8235,-1.4506,0.1309,0.0029,-0.1816,-1.3139,4.8529,11.6233,0.7619,0.27,-0.3733,1.8501,-7.7035,-8.84,-0.1642,-0.2682,-0.4341,-15.844,0
0.6836,-1.6078,-0.0625,-0.003,0.0117,-5.9495,1.1096,-5.0879,0.8118,-0.0018,-0.0304,10.0269,-2.6539,18.9477,0.1197,-0.0067,-0.0266,18.0983,9.2918,1.2934,0.059,0.0021,-0.0149,1.9276,-5.0031,0.6562,-1.4855,0.3266,-0.1078,1.4828,-1.3306,-1.5724,0.0756,0.3804,-0.3228,-16.7121,0
-7.7519,-10.1149,0.0561,0.0,0.0165,2.4654,13.5998,8.485,0.0624,0.0048,0.0152,10.6289,12.9524,-5.3984,-0.0157,0.0035,-0.021,7.8445,1.0719,6.2471,0.1809,0.0015,0.1945,-0.8235,0.9235,-1.531,1.1211,0.3138,0.6545,3.6382,3.392,4.281,-0.0641,-1.0566,-0.1532,-5.3525,0
-13.8413,12.3227,0.2836,-0.0004,-0.054,8.8852,6.5828,-3.72,0.7133,-0.0046,0.0407,-2.2128,4.0892,16.4684,0.0681,0.0062,-0.0805,-16.222,-2.0496,1.2662,0.067,-0.0014,-0.1762,-2.8894,-0.0155,-3.8031,-0.4363,0.0718,0.1397,-5.7294,8.8803,3.8473,-0.3678,0.6435,-0.1367,-0.2313,0
8.3952,15.004,-0.1968,0.0,-0.0433,7.692,-17.95,5.5552,0.5944,0.0009,0.038,3.4977,-4.6629,3.0037,0.0273,-0.0036,0.1025,0.4328,-0.4837,-4.9869,0.0905,0.0035,-0.1155,-2.0302,5.3276,4.4907,-0.1523,0.3291,0.1204,-1.15,8.5647,-8.7524,-0.1765,-0.8799,-0.3666,-0.9576,0
