oe1-x,oe1-y,oe1-z,oe1-rotx,oe1-roty,oe1-rotz,oe2-x,oe2-y,oe2-z,oe2-rotx,oe2-roty,oe2-rotz,oe3-x,oe3-y,oe3-z,oe3-rotx,oe3-roty,oe3-rotz,oe4-x,oe4-y,oe4-z,oe4-rotx,oe4-roty,oe4-rotz,oe5-x,oe5-y,oe5-z,oe5-rotx,oe5-roty,oe5-rotz,oe6-x,oe6-y,oe6-z,oe6-rotx,oe6-roty,oe6-rotz,intensity
-10.2194,-19.4733,0.1346,0.0001,-0.0111,2.0556,1.7692,8.3692,-0.0189,0.0014,-0.0075,16.8439,-3.3812,-9.6258,0.0278,0.0003,0.0724,-4.2015,2.1823,-1.5409,-0.0699,-0.0009,-0.0052,0.9509,1.6595,19.8258,0.3506,0.1611,0.0398,-0.4984,-7.4729,-0.1963,0.0736,0.0016,0.3409,14.4615,31714
14.7758,5.0659,0.0337,0.001,0.012,3.3978,-16.1018,-4.9346,0.3234,-0.002,-0.0046,19.5922,-9.4648,0.2897,0.0364,0.0007,0.0657,-16.4593,-5.9433,-0.662,0.0858,0.0009,0.0141,0.9499,6.1443,-5.9636,0.9266,0.2525,-0.0391,-0.8058,-1.098,0.5615,0.0982,0.0012,-0.3929,-11.5946,0
-8.0382,8.7376,-0.0761,0.0007,0.0222,0.5689,10.7517,-4.1923,-0.3384,-0.0021,-0.002,4.805,9.6919,15.2362,0.02,-0.0009,-0.0078,17.6249,-9.572,2.7877,-0.0937,0.0007,0.0039,0.0222,1.5118,0.2168,-0.7868,-0.1162,0.0262,-0.6193,-7.827,3.2902,-0.0184,0.0083,0.0861,7.3143,42887
-10.2322,-3.3916,0.0509,-0.0029,0.0052,-1.9161,-7.9565,1.9831,-0.027,-0.0026,-0.0029,-4.9136,12.4227,-19.1979,0.0359,0.0004,-0.0269,10.8909,0.4437,0.6716,-0.0295,0.0009,-0.036,-1.4949,0.6393,5.2872,0.5381,-0.1553,-0.0238,0.6233,-8.4029,-2.9035,0.0476,-0.0008,0.0861,7.8077,0
-7.4093,7.9227,0.1422,-0.0016,-0.0177,-3.555,-11.0985,-9.8743,-0.2646,-0.0023,-0.0035,-8.3223,7.899,-7.1214,-0.0327,0.0001,0.0608,11.7545,-5.4874,-0.9642,0.03,-0.0006,0.0273,-0.7231,-4.1264,13.3416,1.0007,0.1914,0.0557,-1.3828,-1.114,-0.4064,-0.0098,0.0061,-0.1392,-2.7587,27371
-3.1289,15.1991,0.0982,-0.0016,0.0226,-4.6738,-3.6191,12.0755,0.2694,-0.0026,0.0031,9.8119,10.9359,-2.6259,0.0326,0.0002,0.0839,-13.1271,-7.224,2.6109,0.0038,-0.0004,0.0761,-0.6324,-6.5385,17.0951,-0.5485,0.1936,0.0727,1.4661,7.6242,-1.8342,-0.0318,-0.0082,0.0693,0.8288,0
-3.3637,-0.9121,-0.1315,0.0008,-0.0043,-3.6036,17.5617,7.0017,0.2333,0.0022,-0.0004,-17.2633,2.9163,-5.9263,0.0844,-0.0009,0.0547,18.9877,-3.3316,-1.7555,0.0612,-0.0005,-0.0957,1.1201,-3.2673,1.3855,0.8411,-0.1444,-0.081,-3.7248,6.2206,2.091,-0.0985,0.0005,-0.3358,0.0704,13015
-7.18,-12.3567,-0.168,0.0018,-0.0045,-4.1128,-7.4168,-4.2463,-0.2572,0.0007,0.0031,-3.0045,-3.8665,-15.0498,-0.0253,-0.0001,-0.0078,-2.9658,3.0852,0.3221,0.0209,-0.0003,-0.0489,1.1998,1.1433,8.6417,0.7348,-0.0024,0.0065,3.9284,-2.3936,-0.7904,-0.0239,0.0037,0.1757,-4.1754,64178
15.5163,6.4916,-0.1587,-0.0024,-0.0212,2.868,11.6367,9.6061,0.0702,-0.0024,0.0055,-18.5492,-6.1833,11.6988,-0.099,0.0008,0.0344,10.6967,-0.753,0.9719,-0.0713,-0.0006,0.0645,0.0358,-4.9745,9.3494,0.7132,-0.2973,0.0823,1.9364,5.3874,0.4214,-0.0911,0.0061,0.0712,-13.0561,18337
9.7096,-10.315,-0.053,0.0028,0.0097,-3.8797,17.3825,-7.9416,-0.0827,-0.0005,0.0003,9.9262,-11.4104,-10.0014,-0.0299,0.0005,-0.0032,16.6646,-3.6908,0.6727,-0.0164,-0.0007,0.0274,0.0545,0.8445,10.1417,-1.0835,0.1191,0.0723,-0.5125,5.6426,-0.7014,0.0001,0.0046,-0.3156,7.2678,12379
